postId,Score,userId,CommentCount,Reputation,Views,UpVotes,DownVotes,Outlier
835,9,62.0,2,549,90,13,3,Score
47,7,22.0,2,591,90,693,6,Score
70,15,22.0,1,591,90,693,6,Score
73,24,22.0,5,591,90,693,6,Score
144,17,22.0,0,591,90,693,6,Score
4589,18,22.0,1,591,90,693,6,Score
6614,7,22.0,0,591,90,693,6,Score
10470,7,22.0,0,591,90,693,6,Score
64484,7,22.0,2,591,90,693,6,Score
53,40,17.0,4,345,14,13,1,Score
1104,15,17.0,0,345,14,13,1,Score
55,7,56.0,0,563,64,10,0,Score
317,18,56.0,0,563,64,10,0,Score
408,8,56.0,0,563,64,10,0,Score
59,24,39.0,1,1651,255,12,0,Score
98,10,39.0,0,1651,255,12,0,Score
113,9,39.0,5,1651,255,12,0,Score
135,7,39.0,3,1651,255,12,0,Score
429,14,39.0,5,1651,255,12,0,Score
522,12,39.0,1,1651,255,12,0,Score
558,11,39.0,0,1651,255,12,0,Score
583,37,39.0,2,1651,255,12,0,Score
824,15,39.0,2,1651,255,12,0,Score
120,39,41.0,4,611,83,12,0,Score
63,25,87.0,2,740,89,58,2,Score
85,15,87.0,2,740,89,58,2,Score
91,10,87.0,0,740,89,58,2,Score
196,19,87.0,2,740,89,58,2,Score
940,7,87.0,0,740,89,58,2,Score
5366,7,96.0,0,441,80,18,0,Score
74,25,88.0,0,14082,3320,4235,126,Score
99,7,88.0,1,14082,3320,4235,126,Score
140,7,88.0,0,14082,3320,4235,126,Score
255,8,88.0,1,14082,3320,4235,126,Score
265,14,88.0,0,14082,3320,4235,126,Score
424,109,88.0,3,14082,3320,4235,126,Score
435,84,88.0,1,14082,3320,4235,126,Score
462,8,88.0,0,14082,3320,4235,126,Score
483,14,88.0,2,14082,3320,4235,126,Score
526,7,88.0,0,14082,3320,4235,126,Score
547,8,88.0,0,14082,3320,4235,126,Score
631,22,88.0,0,14082,3320,4235,126,Score
658,14,88.0,13,14082,3320,4235,126,Score
1004,10,88.0,6,14082,3320,4235,126,Score
1374,7,88.0,3,14082,3320,4235,126,Score
1765,8,88.0,0,14082,3320,4235,126,Score
2179,17,88.0,0,14082,3320,4235,126,Score
2359,8,88.0,0,14082,3320,4235,126,Score
2362,10,88.0,7,14082,3320,4235,126,Score
2455,10,88.0,0,14082,3320,4235,126,Score
2718,24,88.0,0,14082,3320,4235,126,Score
3076,8,88.0,1,14082,3320,4235,126,Score
3237,7,88.0,0,14082,3320,4235,126,Score
3515,10,88.0,3,14082,3320,4235,126,Score
3940,18,88.0,3,14082,3320,4235,126,Score
3949,11,88.0,1,14082,3320,4235,126,Score
3954,64,88.0,3,14082,3320,4235,126,Score
4064,10,88.0,4,14082,3320,4235,126,Score
4211,15,88.0,0,14082,3320,4235,126,Score
5099,7,88.0,1,14082,3320,4235,126,Score
5140,20,88.0,4,14082,3320,4235,126,Score
5311,14,88.0,14,14082,3320,4235,126,Score
5379,7,88.0,1,14082,3320,4235,126,Score
6030,7,88.0,4,14082,3320,4235,126,Score
6190,14,88.0,1,14082,3320,4235,126,Score
6298,22,88.0,4,14082,3320,4235,126,Score
7304,9,88.0,1,14082,3320,4235,126,Score
7622,11,88.0,7,14082,3320,4235,126,Score
8077,29,88.0,0,14082,3320,4235,126,Score
8650,10,88.0,3,14082,3320,4235,126,Score
8914,8,88.0,0,14082,3320,4235,126,Score
8978,17,88.0,0,14082,3320,4235,126,Score
9084,7,88.0,3,14082,3320,4235,126,Score
10028,17,88.0,3,14082,3320,4235,126,Score
11471,11,88.0,2,14082,3320,4235,126,Score
12763,10,88.0,1,14082,3320,4235,126,Score
13008,8,88.0,1,14082,3320,4235,126,Score
13539,10,88.0,0,14082,3320,4235,126,Score
13547,8,88.0,3,14082,3320,4235,126,Score
13601,12,88.0,2,14082,3320,4235,126,Score
16114,8,88.0,2,14082,3320,4235,126,Score
17620,12,88.0,3,14082,3320,4235,126,Score
18220,10,88.0,2,14082,3320,4235,126,Score
19232,10,88.0,0,14082,3320,4235,126,Score
21621,9,88.0,0,14082,3320,4235,126,Score
21938,7,88.0,2,14082,3320,4235,126,Score
25692,25,88.0,8,14082,3320,4235,126,Score
29078,7,88.0,0,14082,3320,4235,126,Score
30727,9,88.0,2,14082,3320,4235,126,Score
30747,8,88.0,0,14082,3320,4235,126,Score
34051,7,88.0,1,14082,3320,4235,126,Score
37382,19,88.0,3,14082,3320,4235,126,Score
40866,7,88.0,1,14082,3320,4235,126,Score
46392,7,88.0,1,14082,3320,4235,126,Score
49250,8,88.0,1,14082,3320,4235,126,Score
49698,12,88.0,0,14082,3320,4235,126,Score
55483,9,88.0,0,14082,3320,4235,126,Score
58015,8,88.0,8,14082,3320,4235,126,Score
58980,9,88.0,0,14082,3320,4235,126,Score
59632,10,88.0,3,14082,3320,4235,126,Score
190,7,25.0,0,4968,641,328,23,Score
656,61,25.0,1,4968,641,328,23,Score
673,8,25.0,3,4968,641,328,23,Score
720,18,25.0,4,4968,641,328,23,Score
810,7,25.0,3,4968,641,328,23,Score
823,-7,25.0,8,4968,641,328,23,Score
956,10,25.0,1,4968,641,328,23,Score
997,9,25.0,2,4968,641,328,23,Score
1792,12,25.0,5,4968,641,328,23,Score
1844,13,25.0,7,4968,641,328,23,Score
2053,7,25.0,0,4968,641,328,23,Score
2129,15,25.0,1,4968,641,328,23,Score
2501,61,25.0,3,4968,641,328,23,Score
5599,7,25.0,4,4968,641,328,23,Score
6618,9,25.0,8,4968,641,328,23,Score
9800,24,25.0,3,4968,641,328,23,Score
12002,14,25.0,6,4968,641,328,23,Score
12991,16,25.0,9,4968,641,328,23,Score
15946,7,25.0,2,4968,641,328,23,Score
16354,10,25.0,2,4968,641,328,23,Score
29158,10,25.0,14,4968,641,328,23,Score
31591,21,25.0,11,4968,641,328,23,Score
32076,8,25.0,2,4968,641,328,23,Score
32385,16,25.0,4,4968,641,328,23,Score
45442,9,25.0,10,4968,641,328,23,Score
65044,11,25.0,7,4968,641,328,23,Score
80911,10,25.0,0,4968,641,328,23,Score
92143,7,25.0,1,4968,641,328,23,Score
111283,7,25.0,1,4968,641,328,23,Score
114763,31,25.0,6,4968,641,328,23,Score
80,8,93.0,2,96,3,2,0,Score
97,35,114.0,1,708,61,44,1,Score
1356,51,114.0,2,708,61,44,1,Score
6804,7,114.0,0,708,61,44,1,Score
33843,10,114.0,0,708,61,44,1,Score
105,19,46.0,1,111,350,59,15,Score
107,11,46.0,0,111,350,59,15,Score
296,10,127.0,0,236,46,29,1,Score
750,17,127.0,6,236,46,29,1,Score
752,28,127.0,6,236,46,29,1,Score
753,78,127.0,1,236,46,29,1,Score
1223,11,127.0,11,236,46,29,1,Score
116,12,72.0,4,800,77,58,0,Score
692,9,72.0,0,800,77,58,0,Score
22704,8,72.0,6,800,77,58,0,Score
123,13,130.0,0,241,24,2,0,Score
124,23,131.0,0,216,14,6,0,Score
130,30,90.0,10,561,287,27,0,Score
270,12,90.0,0,561,287,27,0,Score
274,10,90.0,3,561,287,27,0,Score
276,8,90.0,0,561,287,27,0,Score
287,7,90.0,1,561,287,27,0,Score
359,9,90.0,1,561,287,27,0,Score
367,17,90.0,1,561,287,27,0,Score
9299,11,139.0,8,758,241,41,0,Score
9338,9,139.0,2,758,241,41,0,Score
14184,7,139.0,0,758,241,41,0,Score
29332,9,139.0,1,758,241,41,0,Score
134,10,138.0,6,231,24,20,0,Score
238,8,138.0,0,231,24,20,0,Score
2291,9,138.0,0,231,24,20,0,Score
138,67,142.0,4,185,19,10,0,Score
6534,7,142.0,0,185,19,10,0,Score
146,12,144.0,3,1396,269,477,1,Score
612,12,144.0,4,1396,269,477,1,Score
969,7,144.0,0,1396,269,477,1,Score
1352,10,144.0,0,1396,269,477,1,Score
1764,17,144.0,6,1396,269,477,1,Score
2591,7,144.0,1,1396,269,477,1,Score
3558,8,144.0,4,1396,269,477,1,Score
5128,7,144.0,0,1396,269,477,1,Score
6350,18,144.0,5,1396,269,477,1,Score
9191,7,144.0,0,1396,269,477,1,Score
30796,13,144.0,0,1396,269,477,1,Score
30925,7,144.0,0,1396,269,477,1,Score
151,60,81.0,4,1307,80,86,0,Score
176,18,81.0,2,1307,80,86,0,Score
282,23,81.0,3,1307,80,86,0,Score
159,8,145.0,0,99,8,4,0,Score
154,20,108.0,3,305,171,4,0,Score
1015,7,108.0,2,305,171,4,0,Score
155,27,154.0,2,321,23,6,0,Score
161,9,154.0,0,321,23,6,0,Score
166,10,154.0,0,321,23,6,0,Score
1458,23,148.0,1,228,11,12,0,Score
167,10,159.0,4,18283,3781,1014,59,Score
171,8,159.0,0,18283,3781,1014,59,Score
174,35,159.0,0,18283,3781,1014,59,Score
177,22,159.0,2,18283,3781,1014,59,Score
179,12,159.0,0,18283,3781,1014,59,Score
181,50,159.0,0,18283,3781,1014,59,Score
213,51,159.0,3,18283,3781,1014,59,Score
221,15,159.0,2,18283,3781,1014,59,Score
229,10,159.0,2,18283,3781,1014,59,Score
261,12,159.0,4,18283,3781,1014,59,Score
370,27,159.0,2,18283,3781,1014,59,Score
530,8,159.0,0,18283,3781,1014,59,Score
532,12,159.0,5,18283,3781,1014,59,Score
534,44,159.0,6,18283,3781,1014,59,Score
541,14,159.0,3,18283,3781,1014,59,Score
587,31,159.0,6,18283,3781,1014,59,Score
610,9,159.0,0,18283,3781,1014,59,Score
622,15,159.0,0,18283,3781,1014,59,Score
729,74,159.0,6,18283,3781,1014,59,Score
730,146,159.0,5,18283,3781,1014,59,Score
862,16,159.0,4,18283,3781,1014,59,Score
1026,24,159.0,6,18283,3781,1014,59,Score
1055,20,159.0,2,18283,3781,1014,59,Score
1150,36,159.0,3,18283,3781,1014,59,Score
1153,29,159.0,8,18283,3781,1014,59,Score
1206,9,159.0,11,18283,3781,1014,59,Score
1214,17,159.0,6,18283,3781,1014,59,Score
1295,9,159.0,5,18283,3781,1014,59,Score
1382,36,159.0,0,18283,3781,1014,59,Score
1442,11,159.0,0,18283,3781,1014,59,Score
1444,66,159.0,5,18283,3781,1014,59,Score
1497,7,159.0,1,18283,3781,1014,59,Score
1630,27,159.0,0,18283,3781,1014,59,Score
1639,17,159.0,2,18283,3781,1014,59,Score
1647,8,159.0,1,18283,3781,1014,59,Score
1720,7,159.0,4,18283,3781,1014,59,Score
1806,14,159.0,4,18283,3781,1014,59,Score
2367,7,159.0,12,18283,3781,1014,59,Score
2724,18,159.0,0,18283,3781,1014,59,Score
3002,9,159.0,2,18283,3781,1014,59,Score
3128,9,159.0,0,18283,3781,1014,59,Score
3184,20,159.0,0,18283,3781,1014,59,Score
3408,8,159.0,0,18283,3781,1014,59,Score
3543,25,159.0,1,18283,3781,1014,59,Score
3553,25,159.0,2,18283,3781,1014,59,Score
3733,32,159.0,4,18283,3781,1014,59,Score
3752,12,159.0,6,18283,3781,1014,59,Score
4103,8,159.0,0,18283,3781,1014,59,Score
4490,9,159.0,4,18283,3781,1014,59,Score
4716,16,159.0,0,18283,3781,1014,59,Score
5496,7,159.0,1,18283,3781,1014,59,Score
5830,8,159.0,2,18283,3781,1014,59,Score
6332,10,159.0,5,18283,3781,1014,59,Score
6333,13,159.0,1,18283,3781,1014,59,Score
6476,16,159.0,3,18283,3781,1014,59,Score
6500,12,159.0,1,18283,3781,1014,59,Score
6596,12,159.0,3,18283,3781,1014,59,Score
6973,7,159.0,3,18283,3781,1014,59,Score
7828,13,159.0,1,18283,3781,1014,59,Score
8398,9,159.0,2,18283,3781,1014,59,Score
8751,7,159.0,1,18283,3781,1014,59,Score
9144,15,159.0,6,18283,3781,1014,59,Score
11649,7,159.0,1,18283,3781,1014,59,Score
13530,8,159.0,6,18283,3781,1014,59,Score
14923,9,159.0,9,18283,3781,1014,59,Score
17187,8,159.0,1,18283,3781,1014,59,Score
23123,7,159.0,4,18283,3781,1014,59,Score
24610,11,159.0,4,18283,3781,1014,59,Score
29442,8,159.0,0,18283,3781,1014,59,Score
32764,10,159.0,7,18283,3781,1014,59,Score
32799,9,159.0,2,18283,3781,1014,59,Score
32800,7,159.0,0,18283,3781,1014,59,Score
33958,13,159.0,7,18283,3781,1014,59,Score
35329,7,159.0,5,18283,3781,1014,59,Score
41072,7,159.0,1,18283,3781,1014,59,Score
47733,9,159.0,0,18283,3781,1014,59,Score
50766,7,159.0,1,18283,3781,1014,59,Score
68395,8,159.0,3,18283,3781,1014,59,Score
91462,26,159.0,4,18283,3781,1014,59,Score
173,15,71.0,0,1936,328,2317,1,Score
319,15,71.0,2,1936,328,2317,1,Score
1326,7,71.0,2,1936,328,2317,1,Score
1378,8,71.0,2,1936,328,2317,1,Score
2272,71,71.0,2,1936,328,2317,1,Score
3028,16,71.0,0,1936,328,2317,1,Score
3064,9,71.0,4,1936,328,2317,1,Score
4394,9,71.0,3,1936,328,2317,1,Score
6173,10,71.0,5,1936,328,2317,1,Score
8050,14,71.0,7,1936,328,2317,1,Score
15679,7,71.0,1,1936,328,2317,1,Score
25509,12,71.0,2,1936,328,2317,1,Score
226,12,173.0,2,453,39,15,0,Score
377,7,173.0,0,453,39,15,0,Score
894,22,1356.0,3,745,129,115,1,Score
968,58,1356.0,3,745,129,115,1,Score
1050,9,1356.0,3,745,129,115,1,Score
1645,14,1356.0,1,745,129,115,1,Score
2181,13,1356.0,2,745,129,115,1,Score
2824,13,1356.0,0,745,129,115,1,Score
21117,8,1356.0,0,745,129,115,1,Score
10711,10,175.0,3,236,46,53,0,Score
200,13,174.0,3,792,78,163,4,Score
209,19,174.0,4,792,78,163,4,Score
539,34,174.0,2,792,78,163,4,Score
1815,21,174.0,4,792,78,163,4,Score
3410,11,174.0,0,792,78,163,4,Score
201,8,183.0,0,22625,4069,2496,45,Score
202,11,183.0,0,22625,4069,2496,45,Score
203,16,183.0,2,22625,4069,2496,45,Score
204,7,183.0,2,22625,4069,2496,45,Score
210,9,183.0,3,22625,4069,2496,45,Score
485,48,183.0,3,22625,4069,2496,45,Score
488,10,183.0,1,22625,4069,2496,45,Score
540,9,183.0,0,22625,4069,2496,45,Score
542,7,183.0,0,22625,4069,2496,45,Score
544,13,183.0,0,22625,4069,2496,45,Score
546,29,183.0,5,22625,4069,2496,45,Score
755,36,183.0,1,22625,4069,2496,45,Score
1059,25,183.0,0,22625,4069,2496,45,Score
1217,8,183.0,1,22625,4069,2496,45,Score
1391,8,183.0,4,22625,4069,2496,45,Score
1411,13,183.0,0,22625,4069,2496,45,Score
1527,18,183.0,6,22625,4069,2496,45,Score
1579,60,183.0,3,22625,4069,2496,45,Score
1580,12,183.0,2,22625,4069,2496,45,Score
1596,7,183.0,0,22625,4069,2496,45,Score
1597,26,183.0,2,22625,4069,2496,45,Score
1628,7,183.0,0,22625,4069,2496,45,Score
1646,7,183.0,3,22625,4069,2496,45,Score
1763,16,183.0,7,22625,4069,2496,45,Score
1823,12,183.0,6,22625,4069,2496,45,Score
1879,7,183.0,2,22625,4069,2496,45,Score
1979,7,183.0,0,22625,4069,2496,45,Score
1980,53,183.0,0,22625,4069,2496,45,Score
2061,11,183.0,1,22625,4069,2496,45,Score
2128,41,183.0,2,22625,4069,2496,45,Score
2303,10,183.0,0,22625,4069,2496,45,Score
2432,13,183.0,3,22625,4069,2496,45,Score
2440,7,183.0,0,22625,4069,2496,45,Score
2469,9,183.0,0,22625,4069,2496,45,Score
2777,19,183.0,0,22625,4069,2496,45,Score
2782,17,183.0,4,22625,4069,2496,45,Score
2853,9,183.0,1,22625,4069,2496,45,Score
2998,10,183.0,7,22625,4069,2496,45,Score
3006,8,183.0,0,22625,4069,2496,45,Score
3038,15,183.0,4,22625,4069,2496,45,Score
3044,9,183.0,1,22625,4069,2496,45,Score
3081,8,183.0,4,22625,4069,2496,45,Score
3180,7,183.0,4,22625,4069,2496,45,Score
3466,23,183.0,4,22625,4069,2496,45,Score
3542,38,183.0,9,22625,4069,2496,45,Score
3730,47,183.0,0,22625,4069,2496,45,Score
3738,11,183.0,0,22625,4069,2496,45,Score
4427,7,183.0,0,22625,4069,2496,45,Score
4429,20,183.0,2,22625,4069,2496,45,Score
4466,26,183.0,1,22625,4069,2496,45,Score
4467,10,183.0,1,22625,4069,2496,45,Score
4472,8,183.0,2,22625,4069,2496,45,Score
4898,7,183.0,0,22625,4069,2496,45,Score
5229,12,183.0,1,22625,4069,2496,45,Score
5238,13,183.0,2,22625,4069,2496,45,Score
5249,16,183.0,6,22625,4069,2496,45,Score
5418,39,183.0,2,22625,4069,2496,45,Score
5478,9,183.0,1,22625,4069,2496,45,Score
5775,8,183.0,1,22625,4069,2496,45,Score
7118,16,183.0,6,22625,4069,2496,45,Score
7123,12,183.0,2,22625,4069,2496,45,Score
7285,9,183.0,6,22625,4069,2496,45,Score
7446,7,183.0,0,22625,4069,2496,45,Score
8613,7,183.0,2,22625,4069,2496,45,Score
8958,8,183.0,1,22625,4069,2496,45,Score
8995,19,183.0,4,22625,4069,2496,45,Score
9247,13,183.0,0,22625,4069,2496,45,Score
9297,9,183.0,0,22625,4069,2496,45,Score
9337,8,183.0,0,22625,4069,2496,45,Score
9580,11,183.0,1,22625,4069,2496,45,Score
9863,8,183.0,0,22625,4069,2496,45,Score
9875,9,183.0,0,22625,4069,2496,45,Score
10020,9,183.0,0,22625,4069,2496,45,Score
10079,32,183.0,0,22625,4069,2496,45,Score
10105,17,183.0,1,22625,4069,2496,45,Score
11255,11,183.0,0,22625,4069,2496,45,Score
11298,15,183.0,0,22625,4069,2496,45,Score
11394,9,183.0,4,22625,4069,2496,45,Score
11525,8,183.0,2,22625,4069,2496,45,Score
11554,15,183.0,9,22625,4069,2496,45,Score
11747,23,183.0,2,22625,4069,2496,45,Score
12532,16,183.0,3,22625,4069,2496,45,Score
12855,10,183.0,0,22625,4069,2496,45,Score
13074,9,183.0,0,22625,4069,2496,45,Score
